LITHSTRATNO,GAUNITNO,GEOLCODE,PARENT_LITHSTRATNO,UNIT_NAME,sort,LEG_NAR,SUMARY_NAR,DIST_NAR,DERNAM_NAR,TYPESC_NAR,LITH_NAR,DEPENV_NAR,MIN_THICK,MAX_THICK,THICK_NAR,CONT_R_NAR,CURRENCY,STATUSNO,GEOLCOLOUR,COLOUR_CODE,MIXED_ROCKTYPE,RANKNO,OROGENY,AGE,CORREL_AGE,MAX_AGE,MAX_AGE_UN,MIN_AGE,MIN_AGE_UN,GEOCHR_NAR,CG_APPROVED,REL_PAR_AGE,EQV_REL_PAR,CHILD_HIER,EQV_CHILDH,PM_APPROVED,WorkflowStatus,TwoPointFiveMegMap,FiveHundredKiloMap,cbGeoTimeCode,cbStratigraphyCode,cbTectonicCode,TolTectonicID,TolOrderNo,TolEqvOrderNo,LastModifiedBy,LastModifiedDate,PublishDate,LegendNarrativeEdited,OneHundredKiloMap
2989,77868,A-_ae-og,1,Abattoir East Gabbro,1,Gabbro; tholeiitic; differentiated; metamorphosed,,,,,,,,,,,,17,,,,4,,,,2960,,2650,,,No,,,169,,No,Approved for DE,No,No,A,_ae,,28,19,,MIGSDSW,2.02E+13,,No,No
2990,77869,A-_aw-og,1,Abattoir West Gabbro,1,Gabbro; differentiated; metamorphosed,,,,,,,,,,,,17,,,,4,,,,2960,,2650,,,No,,,170,,No,Approved for DE,No,No,A,_aw,,28,20,,MIGSDSW,2.02E+13,,No,No
5190,,P-KEa-sk,3619,Abdul Sandstone,1,"Sandstone, fine- to medium-grained, rarely coarse-grained, well sorted; minor microcrystalline limestone (subsurface only)",,,,,,,,,,,,99,,,,4,,,,266.5,,262,,,No,,,2,,No,Approved for DE,No,No,P,KEa,,,,,MIGSDAR,2.02E+13,,No,No
4975,21097,A-GBad-od,4765,Aberdare Dolerite,1,Weakly differentiated dolerite and gabbro; metamorphosed,"The Aberdare Dolerite forms a sill at the northern closure of the Boomerang Anticline, 6-7 km north-northwest of Kalgoorlie. Historically, there have been two areas of the dolerite called Aberdare Dolerite in the vicinity of Kalgoorlie. Recent studies have indicated that the unit at the southern end of the Golden Mile is a less differentiated part of the Gold Mile Dolerite. The dolerite at the northern end of the Boomerang Anticline cannot be demonstrated to be part of the Golden Mile Dolerite and so the original name is retained.","The Aberdare Dolerite lies at the northern end of the Boomerang Anticline and is is contiguous with the Golden Mile Dolerite across the Adelaide Fault. Clout et al. (1990) distinguished the Aberdare Dolerite as separate unit from the Golden Mile Dolerite as described by Travis et al (1971). Bateman et al. (2001) used geochemical analyses of the Aberdare Dolerite of Clout et al. (1990) on the southern side of the Adelaide Fault to infer that the dolerite is part of the Golden Mile Dolerite. However, the lack of geochemical data on the dolerite around the northern closure of the anticline precludes the re-assigning of the Aberdare Dolerite to the Golden Mile Dolerite in this area.",The Aberdare Dolerite is named after a former gold mining lease at the southern end of the Golden Mile.,,"The Aberdare Dolerite around the northern closure of the Boomerang Anticline is poorly documented. Clout et al. (1990) described it as a weakly differentiated dolerite, approximately 600-700 m thick.",,,700,,The Aberdare Dolerite intrudes at or near the contact between the Paringa Basalt and the Black Flag Group.,,17,,,,4,,,,2680,,2680,,This unit has not been isotopically dated but is thought to be a lateral equivalent of the Golden Mile Dolerite.,No,,,2,,No,Submitted,No,No,A,GBad,,,,,MIGSDAR,2.02E+13,,No,No
4184,59,D-COa-st,452,Abney Sandstone,1,Redbed quartz and feldspathic sandstone; minor siltstone,,,,,,,,,,,,17,,,,4,,,,382.7,,372.2,,,No,,,4,,No,Approved for DE,No,No,D,COa,,,,,MIGSDAR,2.02E+13,,No,No
2945,27099,CZ-EUa-klg,5034,Abrakurrie Limestone,1,"Yellowish porous bryozoan calcarenite and granule calcirudite; mostly grainstone, some packstone","The Abrakurrie Limestone is a moderate to high energy, cool water, shelfal carbonate characterized by bryozoan limestone. Three informal members are distinguished based on fauna and lithology, with all three showing marked cyclicity. This cyclicity has been attributed to variations in the depth of wave abrasion rather than pronounced shallowing or deepening, as cycles are bounded by submarine hardgrounds. It was deposited in water depths of about 100 m in the central southern Eucla Basin, and is up to approximately 120 m thick. The formation is late Oligocene to early Miocene in age, deposited between 28 and 21 Ma during a second-order transgressive eustatic cycle. In the onshore Eucla Basin, the Abrakurrie Limestone rests disconformably on the middle Eocene Wilson Bluff Limestone, and is disconformably overlain by the middle Miocene Nullarbor Limestone in the onshore Eucla Basin. Further south in deeper water depositional settings, it is probable that the upper contact will be a correlative conformity rather than a disconformity. For this reason, it is grouped with the Nullarbor Limestone in the Eucla Group.","The Abrakurrie Limestone extends throughout the southern central Eucla Basin, with a maximum thickness centred around Madura (Lowry, 1970, fig. 25). Based on sections in caves and coastal cliffs, Lowry showed the westernmost extent as being near Toolina Cove, although other authors have indicated approximately 30 m thickness of Abrakurrie Limestone at this locality (James and Bone, 1994), suggesting an unknown extent further west. The unit does not rech the inner platform edge of the Eucla Basin, extending as far north as the Trans-Australian Railway Line at Loongana, but only extending about 30 km north of the coast at the South Australian border. The formation extends under the Roe Plains onto the continental shelf, where it likely grades into part of the Dugong Supersequence (Feary and James, 1998, Totterdell et al., 2000).","The Abrakurrie Limestone was named after Abrakurrie Cave by Lowry (1968) and described in detail by Lowry (1970). The type section is on the west wall of this same cave, which is approximately halfway between Mundrabilla and Eucla Roadhouses, and is 108 ft (~33 m) thick as measured by Lowry (1970). This thickness has been later confirmed by Li et al. (1996) and James and Bone (1994). The Abrakurrie Limestone overlies the Wilson Bluff Limestone throughout its range, and is overlain by Nullarbor Limestone or, where present, the Mullamullang Member of the Nullarbor Limestone.  Li et al. (1996) established that the Toolinna Limestone at Toolina Cove (which is underlain by undisputed Wilson Bluff Limestone and overlain by Nullarbor Limestone) is identical to the Abrakurrie Limestone lithologically and contains abundant foraminifers resembling those from the Abrakurrie Limestone. It is quite different to the Toolinna Limestone at Point Culver, which resembles the Wilson Bluff Limestone lithologically and faunally. They considered that high-energy facies of the Toolinna Limestone might better be considered Abrakurrie Limestone, but noted that Philip (in Lowry, 1970) had recorded Eocene echinoids at Toolina Cove; Philip (in Lowry 1970) also considered the fauna as a whole to be different from Oligocene-Miocene faunas recorded elsewhere along Australia's southern margin. It remains unresolved whether the 'Toolinna Limestone' at Toolina Cove is actually Abrakurrie Limestone or an Eocene higher energy marginal facies, as Lowry (1970) originally suggested. ",,"The Abrakurrie Limestone is only exposed in the walls of caves beneath the Nullarbor Plain, and more rarely in coastal cliffs. It consists of pale-coloured, commonly yellowish, bryozoal calcarenite and calcirudite and ranges from friable to very hard, but is generally poorly cemented. All lithologies within the unit are bioclastic, with minor clastic grains only observed at the northernmost extents of the unit. The macrofossils represent a brymol assemblage, dominated by bryozoans, bivalves, echinoids, and benthic foraminifers, with minor gastropods, brachiopods, planktic foraminifers, coralline algae and solitary corals (Lowry, 1970; James and Bone, 1991, 1992, 1994; Li et al., 1996). Bioturbation varies, but can be intensely developed in certain layers.  Initially divided into lower and upper informal units (James and Bone, 1991, 1992), later workers distinguished a lower member of thinly bedded and cross-bedded rudstone, a middle member of thinly bedded and burrowed grainstone, and an upper member of thick-bedded and heavily burrowed rudstone and floatstone, all of which display metre-scale cyclicity of subtidal origin (James and Bone, 1994; Li et al., 1996). Submarine hardgrounds separate the cycles, with bed thicknesses between hardground surfaces generally increasing up section (James and Bone, 1992, 1994).","The Abrakurrie Limestone was deposited in moderate to high energy, cool water, open-shelf, subtidal conditions in the western Eucla Basin. James and Bone (1994) and Li et al. (1996) estimated that the presently onshore portion of the Abrakurrie Limestone was deposited about 200 km inboard of the paleoshelf edge, and 50 to 80 km seaward of the paleoshoreline, at water depths of about 100 m. The limestone shows distinct metre-scale cyclicity, with hardgrounds separating cycles (James and Bone, 1994) indicating depositonal hiatuses, rather than emergence. James and Bone (1991, 1994) interpreted the cycles in terms of regular variation in the depth of wave abrasion, controlled by eustacy and climate. Li et al. (1996) recognized lower, middle and upper informal members divided according to lithology and fauna, and attributed these to deposition under cooler mesotrophic conditions for the lower two members compared to a well-lit, warmer water, oligotrophic environment for the upper member.",14,120,,"The Abrakurrie Limestone disconformably overlies the Wilson Bluff Limestone (and possibly the Toolinna Limestone, although see 'Derivation of Name', above). The unit is interpreted to onlap the basal Wilson Bluff unconformity to the north.  The Abrakurrie Limestone is disconformably overlain by the Nullarbor Limestone (and specifically the Mullamullang Member where present) in the onshore Eucla Basin. The contact is clearly erosional at several localities, with truncation of the Abrakurrie Limestone beds observed (Lowry, 1970). Offshore to the south, the unit grades into a correlative conformity (within the Dugong Supersequence; Feary and James, 1998; Totterdell et al., 2000) as water depth increases. The Abrakurrie and Nullarbor Limestones are here viewed as part of a single major depositional cycle, similar to the Cape Range Group of the Northern Carnarvon Basin or successions further east on the southern margin in the Murray and Otway Basins (Mannum Formation and Heytesbury Group respectively; Li et al., 1996).",,17,,,,4,,,,28,,21,,"Fossils from the Abrakurrie Limestone are dominated by benthic forms of little value for biostratigraphy, although macrofossil evidence suggests a general association with the Janjukian and Longfordian Australian regional stage (e.g. Ludbrook in Lowry, 1970; Philip, 1970; Cockbain, 1970; Kruse and Phillip, 1985; Darragh, 1985; Beu and Darragh, 2001).   Li et al. (1996) attempted to provide age constraints for the unit using somewhat limited foraminiferal data. Although precise ages could not be determined for the top and base, the unit was considered to extend across planktonic foraminiferal zones P21b to low N5. Based on the recovery of sparse  Amphistegina  spp. only 5 m above the base of the Abrakurrie Limestone (in Murra-el-Elevyn Cave), a maximum age of earliest Late Oligocene was interpreted; a peak abundance of this same taxon in the lower part of the upper member was linked to a regional acme event usually placed close to the Oligocene-Miocene boundary. For the minimum age, Li et al. (1996) recovered typical early Early Miocene fossils only a metre below the upper boundary with the Nullarbor Limestone;  Operculina , and other taxa which would indicate later Early Miocene (Longfordian) ages, were lacking from all studied sections (Li et al., 1996, p. 443). Other foraminiferal evidence generally supports this interpretation without providing extra precision.",No,,,2,,No,DE in Progress,No,No,CZ,EUa,,,,,MIGIPSM,2.02E+13,,No,No
2669,,A-STab-jmgm-mgn,2671,Abydos Monzogranite,1,"Feldspar(â€“quartz) porphyritic, biotiteâ€“titanite metamonzogranite with abundant granitic gneiss xenoliths; moderately to strongly foliated",,,,,,,,,,,,8,,,Xenolith/Inclusion Bearing,5,,,,2945,,2919,,,No,,,1,,No,Approved for DE,No,No,A,STab,,,,,MIGSDAH,2.02E+13,,No,No
665,72737,O-_wa-st,499,Acacia Sandstone Member,1,Fine- to medium-grained quartz sandstone,,,,,,,,,,,,17,,,,5,,,,470,,467.3,,,No,,,1,,No,Approved for DE,No,No,O,_wa,,,,,MIGSDAR,2.02E+13,,No,No
4830,77940,A-KGak-xu-bk,4760,Agnew Komatiite,1,Komatiite and komatiitic basalt; metamorphosed,"The Agnew Komatiite appears as a highly magnetic unit in aeromagnetic images, which outlines the shape of the Lawlers Anticline, the Mount White Syncline and the Leinster Anticline in the northwestern part of the Eastern Goldfields Superterrane of the Yilgarn Craton. The Agnew Komatiite is the principal marker unit of the Two Sisters Subgroup, one of the uppermost units of the regionally extensive Kalgoorlie Group. The komatiite contains locally well preserved olivine-spinifex and cumulate textures. The formation also contains local units of komatiitic basalt. It is conformably underlain by the Never Can Tell Basalt and is structurally overlain by mafic and sedimentary units.","The Agnew Komatiite is a marker unit that delineates the shape of major folds in aeromagnetic images. It forms a wedge to the northwest of The Two Sisters hill in the eastern limb of the Lawlers Anticline. It is an almost continuous unit in the Lawlers Anticline, the Mount White Syncline and the Leinster Anticline, although it is only thinly preserved in the western limb of the Lawlers Anticline, which is bounded by the Emu Shear Zone. It is intruded by granodiorite and displaced by a fault in the eastern limb of the Mount White Syncline near the fold hinge. The townsite of Agnew, and the Pilgrim, Deliverer, and Cox-Crusader mines are located within the Agnew Komatiite in the Lawlers Anticline. Leinster Downs Homestead is situated in the unit in the hinge of the Leinster Anticline. The Agnew Komatiite also forms fault-bounded discontinuous lenses and wedges, mainly within the sedimentary Scotty Creek Formation, to the west of the Lawlers Anticline and the Mount White Syncline.",The Agnew Komatiite is named after the townsite of Agnew.,,The Agnew Komatiite is dominantly composed of komatiite with minor komatiitic basalt. The komatiite preserves local cumulate and platy olivine-spinifex texture. The komatiitic basalt is exposed as lenses within the komatiite and locally preserves pyroxene-spinifex texture.,,,1500,,"The Agnew Komatiite is conformably underlain by the Never Can Tell Basalt along its entire length. The contact is commonly sheared. Stratigraphically, the Burrell Well Basalt overlies the komatiite. However, this stratigraphic relationship is preserved only locally, in the Mount White Syncline, where the Burrell Well Basalt has been identified as discontinuous lenses truncated by shear zones. Elsewhere in the syncline, the Agnew Komatiite has sheared contacts with the Redeemer Basalt, the White Hope Basalt and the Vivien Formation. Its upper part is intruded by monzogranite in the Leinster Anticline.   The Agnew Komatiite is partly overlain by the Redeemer Basalt in the western limb of the Lawlers Anticline. Where the basalt is not preserved, the komatiite lies below the Scotty Creek Formation (including its Claudius Member) along a sheared unconformity. Beardsmore (2002) suggested that fault-bounded, discontinuous lenses of the Agnew Komatiite in the Scotty Creek Formation to the west of the Lawlers Anticline and the Mount White Syncline may have been tectonically emplaced.",,17,,,Mixed,4,,,,2711,,2687,,"The Agnew Komatiite has not been isotopically dated. It is younger than the c. 2711 Ma maximum depositional age of an interflow sedimentary rock within the underlying Never Can Tell Basalt (Hayman et al., 2015). Its stratigraphic position and the ages of overlying units (Kositcin et al., 2008) indicate that it is a likely correlative of the regional komatiite unit at this stratigraphic level in the Eastern Goldfields Superterrane (e.g. the Kambalda Komatiite in the Hannans Subgroup of the Kalgoorlie Group). The minimum age is given by the age of an unnamed dolerite that intrudes near the top of the Two Sisters Subgroup (Hayman et al., 2015).",No,,,4,,No,Published,No,No,A,KGak,,,,,MIGSDAR,2.02E+13,2.02E+13,No,No
449,30154,P_-_ah-stq,1,Ahern Formation,1,"Fine- to coarse-grained quartz sandstone; minor pebbly sandstone, conglomerate, and siltstone",,,,,,,,,,,,17,,,,4,,,,1000,,720,,,No,,,46,,No,Approved for DE,Yes,Yes,P_,_ah,,74,2,,MIGSDAR,2.02E+13,,No,No
