hint,code
0.0,A-FF-xgd-gv
0.01,A-FF-og
0.02,A-FF-ogx
0.0,A-MRer-gm
0.01,A-MRje-gg
0.02,A-MRwa-gm
0.03,A-MRca-gm
0.04,A-MRwh-ggp
0.05,A-MRto-mgta
0.06,A-MRmi-gm
0.07,A-MRhe-gmp
0.08,A-MRbr-gmp
0.09,A-MRma-gg
0.0,A-FO-fnvt
0.01,A-FO-xo-a
0.02,A-FO-sp
0.03,A-FO-sr
0.04,A-FO-mos
0.05,A-FO-o
0.06,A-FO-od
0.07,A-FO-odc
0.08,A-FO-og
0.09,A-FO-ow
0.1,A-FO-bb
0.11,A-FOS5-xs-b
0.12,A-FOS4-xbs-bbo
0.13,A-FOS3-bbo
0.14,A-FOS2-xs-f
0.15,A-FOS1-xbb-s
0.0,A-MRer-gm
0.01,A-MRje-gg
0.02,A-MRwa-gm
0.03,A-MRca-gm
0.04,A-MRwh-ggp
0.05,A-MRto-mgta
0.06,A-MRmi-gm
0.07,A-MRhe-gmp
0.08,A-MRbr-gmp
0.09,A-MRma-gg
0.0,A-FOkc-od
0.01,A-FOk-mbnz
0.02,A-FOk-st
0.03,A-FOk-stq
0.04,A-FOk-sp
0.05,A-FOk-fr
0.06,A-FOk-frlh
0.07,A-FOk-frv
0.08,A-FOk-frx
0.09,A-FOk-fd
0.1,A-FOk-fa
0.11,A-FOk-od
0.12,A-FOk-bb
0.13,A-FOk-bbo
0.14,A-FOk-bbor
0.15,A-FOk-bbx
0.16,A-FOk-bbz
0.17,A-FOk-bd
0.18,A-FOk-bng
0.19,A-FOk-bk
0.2,A-FOk-xbb-bk
0.21,A-FOk-xbk-bb
0.22,A-FOkm-kts
0.23,A-FOk-xfa-spv
0.0,A-GCe-xmc-md
0.01,A-GCe-mlsd
0.02,A-GCe-mtq
0.03,A-GCe-mba
0.04,A-GCe-mu
0.05,A-GCe-xci-mus
0.06,A-GCe-cc
0.07,A-GCe-ccb
0.08,A-GCe-cci
0.09,A-GCe-ccj
0.1,A-GCe-ccx
0.11,A-GCe-ci
0.12,A-GCe-cix
0.13,A-GCe-xcc-sc
0.14,A-GCe-s
0.15,A-GCe-sh
0.16,A-GCe-shi
0.17,A-GCe-shz
0.18,A-GCe-ss
0.19,A-GCe-st
0.2,A-GCe-sw
0.21,A-GCe-fnn
